id,sla,overdue,x,y,type
101001215369,4.0,-4.16,3055927.36667,13808110.671020003,3.0
277504-101001020191,25.0,44.24,3170524.55,13782306.07,3.0
101000876026,24.0,-12.86,3105805.53,13855687.8,3.0
11624205-101000971803,35.0,-34.94,3138732.12,13832470.12,3.0
11590027-101000880242,2.0,-1.48,3133228.89,13876376.68,3.0
11624419-101000972472,35.0,-26.99,3074731.99,13805744.59,3.0
101001201168,10.0,-7.18,3106266.35523,13858051.621340003,3.0
19431-101001140296,1.0,-2.4,3110448.09989,13850505.11005,2.0
101001017378,7.0,-173.05,3080727.08,13822148.57,3.0
5961-101000912249,1.0,-2.98,3114170.57027,13838009.66829,2.0
11716157-101001232616,35.0,-34.18,3102407.97876,13871614.821900003,3.0
101000949393,5.0,-18.3,3065735.33,13852987.9,3.0
788525-101000945140,14.0,-0.01,3112928.33,13857928.63,3.0
11607801-101000923010,40.0,-38.88,3053501.6,13823184.49,3.0
11652295-101001058752,30.0,-27.65,3121520.36,13817514.06,3.0
11613867-101000940348,1.0,-0.66,3175909.02,13783980.38,3.0
11642971-101001030531,14.0,-13.82,3086616.75,13780297.2,3.0
11599073-101000900519,14.0,-11.88,3124558.52,13838555.95,3.0
11639790-101001019928,90.0,-8.16,3156596.19,13813535.02,3.0
101000894339,4.0,-3.1,3162203.47,13813918.66,3.0
11598265-101000898780,14.0,-4.15,3124550.05,13794281.21,3.0
11710140-101001217092,1.0,0.36,3114298.829,13839264.11429,3.0
11620117-101000959675,15.0,-14.97,3121322.64,13810563.9,3.0
101000952740,4.0,-1.5,3092354.02,13807394.27,3.0
101001230656,15.0,-39.19,3127396.29755,13842295.44189,3.0
101001209302,12.0,0.63,3091682.57042,13887165.13135,3.0
7178-101000930949,1.0,-2.76,3151789.60144,13842682.87924,2.0
101001181409,7.0,35.32,3123990.84341,13857091.59996,3.0
101001123358,11.0,0.17,3105777.63,13844765.06,3.0
11603872-101000912991,10.0,-3.14,3074120.07,13814194.54,3.0
101000887686,10.0,4.09,3143051.16,13878982.1,3.0
0-101001121003,180.0,-172.06,3130525.67,13801103.14,3.0
11680279-101001136010,35.0,-24.11,3074718.67,13861759.94,3.0
11681816-101001140417,20.0,-17.71,3081085.49,13855188.46,3.0
11701057-101001192973,7.0,-6.95,3134556.28881,13847929.17537,3.0
11630551-101000989631,15.0,-14.98,3154988.22,13855357.94,3.0
0-101000936410,180.0,108.51,3108023.16216,13853310.739459997,2.0
11709359-101001215054,21.0,-19.84,3140085.16489,13868067.1036,3.0
101000949134,6.0,-3.0,3055828.1,13800838.28,3.0
0-101000903818,25.0,21.02,3118113.2,13843506.9,3.0
101001089944,4.0,-0.95,3088537.97,13783269.19,3.0
11665889-101001097030,7.0,-6.84,3077040.12,13854679.44,3.0
101001183741,4.0,0.28,3107292.98179,13867071.32147,3.0
11657840-101001075097,20.0,-17.35,3052200.18,13803827.48,3.0
11605948-101000918248,1.0,-0.83,3156080.64,13813744.75,3.0
283171-101001123762,180.0,-159.14,3088443.77,13873465.07,3.0
11693909-101001173334,18.0,-7.77,3050647.14682,13839391.809619997,2.0
11646263-101001041862,30.0,-29.96,3056346.58,13835038.42,3.0
101001157004,4.0,-2.75,3173235.69931,13851235.36824,3.0
11630294-101000989000,14.0,-12.65,3168819.36,13783493.59,3.0
11686996-101001154586,1.0,-0.86,3147298.99397,13813673.513900002,3.0
101000889598,14.0,0.89,3094730.32,13803419.0,3.0
101001134256,4.0,-0.79,3062237.11,13852152.49,3.0
11618640-101000954926,14.0,-12.16,3062760.32,13823054.15,3.0
101001053482,10.0,-8.98,3103927.03,13891275.3,3.0
805296-101000979550,14.0,-5.05,3110340.37383,13835211.310540002,2.0
275378-101000983352,25.0,81.16,3064290.4,13868682.11,3.0
0-101001151445,25.0,-4.68,3146511.61497,13806741.741020003,3.0
277180-101001016248,25.0,158.81,3085354.84,13804192.62,3.0
101000972137,4.0,-3.38,3140439.78,13885021.05,3.0
11712087-101001222029,2.0,-1.99,3122662.01536,13808798.157180002,3.0
771895-101000891372,14.0,-14.0,3086390.99,13862392.32,3.0
0-101001075417,180.0,-34.77,3150008.62484,13810512.270060003,2.0
11690316-101001164028,1.0,-0.93,3093323.89227,13794833.421660002,3.0
101001095292,10.0,-4.83,3116838.42,13849352.13,3.0
11679067-101001133367,15.0,-14.94,3074453.74,13773950.37,3.0
11645171-101001038438,30.0,-29.97,3173110.51,13950559.57,3.0
11589513-101000879117,14.0,-10.96,3079371.86,13801614.62,3.0
11643083-101001031062,7.0,-6.35,3080874.79,13858790.53,3.0
11661822-101001086317,2.0,-1.7,3125163.34,13814946.02,3.0
11616446-101000948050,1.0,-0.12,3063333.67,13800800.6,3.0
11609042-101000926410,14.0,-13.97,3117112.38,13828107.4,3.0
101001194786,4.0,-3.76,3164528.75806,13813746.40909,3.0
11615899-101000946547,1.0,-0.64,3146282.37,13808875.19,3.0
101001100571,4.0,-2.83,3084922.99438,13847302.80983,3.0
854137-101001083427,14.0,7.07,3137488.18,13853563.86,3.0
11692063-101001168521,40.0,-39.34,3079442.01157,13818243.58251,3.0
11682584-101001142454,14.0,-13.91,3091961.3,13851302.35,3.0
101000936765,24.0,75.22,3112291.12,13856430.38,3.0
101001009225,14.0,-4.04,3127553.93,13874979.04,3.0
101000983904,7.0,-1.81,3091793.39,13871983.3,3.0
101001154280,14.0,28.27,3062574.29367,13847203.46915,3.0
11632451-101000995230,2.0,-1.16,3070379.56,13865465.35,3.0
11710536-101001218022,14.0,-13.28,3045116.58482,13806530.58757,3.0
101001215974,12.0,-6.08,3122669.76862,13822203.51915,3.0
11635545-101001004984,14.0,-13.18,3098672.59,13798144.36,3.0
11709336-101001214993,30.0,-23.91,3079354.57736,13792153.00576,3.0
101000914342,7.0,-6.99,3142993.6,13820982.49,3.0
101001175850,14.0,-13.72,3062602.67911,13864707.54405,3.0
0-101001018691,180.0,-104.7,3160084.81,13813013.11,3.0
101001007910,4.0,-1.87,3146842.43,13841585.6,3.0
11646889-101001043819,1.0,-0.84,3143748.35,13884454.18,3.0
11607787-101000922986,14.0,-13.01,3129420.58,13797662.2,3.0
